comp,job,location,range,req_location,salary
Walmart eCommerce,Distinguished Technical Program Manager,"Rogers, AR 72758",F,AR,
Career Evolutions,Data Services Engineer,"Phoenix, AZ",B,AZ,150000.0
Career Evolutions,Data Architect,"Phoenix, AZ",B,AZ,150000.0
SearchAccountingJobs,Quantitative Analyst Manager,"Phoenix, AZ",B,AZ,177500.0
American Express,Data Scientist,"Phoenix, AZ",C,AZ,
Avani Tech Solutions,Data Science,"Phoenix, AZ",C,AZ,
Honeywell,Data Scientist II,"Phoenix, AZ",C,AZ,
Aescentia,Analytics Solutions Leader,"Phoenix, AZ",C,AZ,
Freestar,Director of Data Science,"Scottsdale, AZ",C,AZ,
GoDaddy,"Senior Manager, Data Science","Scottsdale, AZ",C,AZ,
PetSmart,Data Scientist,"Phoenix, AZ",C,AZ,
SeekPro by Goodwill of Central Arizona,Sr Systems Engineer,"Scottsdale, AZ",C,AZ,
Carvana,Fraud Analytics Manager,"Phoenix, AZ",C,AZ,
Mitre Corporation,Big Data Systems/Software Engineer,"Fort Huachuca, AZ",C,AZ,
Honeywell,Chief Data Science Engineer,"Phoenix, AZ",C,AZ,
Raytheon,"Modeling, Simulation & Analysis - Systems Engineer I","Tucson, AZ",C,AZ,
Critical Path Institute,"Associate Program Director, Quantitative Medicine (Pharmacometrics)","Tucson, AZ 85718",C,AZ,
The Red Flag Group,"Product Director, IntegraAnalytics®","Phoenix, AZ",C,AZ,
Rincon Research Corporation,Research Software Engineer,"Tucson, AZ 85711 (Rosemont West area)",C,AZ,
Rincon Research Corporation,Cloud Framework and Application Software Engineer,"Tucson, AZ 85711 (Rosemont West area)",C,AZ,
The Red Flag Group,"Technical Product Manager, IntegraAnalytics®","Phoenix, AZ",C,AZ,
BOEING,Flight Engineering Manager K,"Mesa, AZ 85215 (Northeast area)",C,AZ,
Mayo Clinic,Operations Administrator-Radiology Job,"Phoenix, AZ 85054 (Desert View area)",C,AZ,
Rincon Research Corporation,Software Architect,"Tucson, AZ 85711 (Rosemont West area)",C,AZ,
Rincon Research Corporation,Advanced Software Development Engineer,"Tucson, AZ 85711 (Rosemont West area)",C,AZ,
Association of Universities for Research in Astron...,Telescope Systems Engineer,"Tucson, AZ",C,AZ,
Rincon Research Corporation,GOPS Advanced Geolocation Engineer,"Tucson, AZ 85711 (Rosemont West area)",C,AZ,
HDR,Construction Project Manager- Data Center an Crictical Mission Facilities,"Phoenix, AZ",C,AZ,
SAP,Data Scientist Job,"Scottsdale, AZ",D,AZ,
Intel,Application Engineer / Data Scientist,"Phoenix, AZ 85018 (Camelback East area)",D,AZ,
Carvana,Data Scientist,"Phoenix, AZ",D,AZ,
Vixxo,Data Scientist,"Scottsdale, AZ",D,AZ,
OneAZ Credit Union,Business Data Engineer,"Phoenix, AZ",D,AZ,
Honeywell,Big Data Architect,"Phoenix, AZ",D,AZ,
Raytheon,Market Research Analyst,"Tucson, AZ",D,AZ,
Raytheon,"EO Subsystem Test, Integration and Data Analysis Engineer","Tucson, AZ",D,AZ,
Mitre Corporation,Cloud Security Systems Engineer,"Fort Huachuca, AZ",D,AZ,
University of Arizona,Research Assistant Professor - Division of Informatics,"Tucson, AZ",D,AZ,97500.0
HDR,Senior Materials Manager,"Phoenix, AZ",D,AZ,
BOEING,Logistics Data/Pub Specialist,"Mesa, AZ 85215 (Northeast area)",E,AZ,
Arizona Health Care Cost Containment System,DATA ANALYSIS AND RESEARCH MANAGER,"Phoenix, AZ",E,AZ,68500.0
"Maricopa County, AZ",Research Analyst,"Phoenix, AZ 85003 (Central City area)",E,AZ,63617.0
Carvana,Quantitative Marketing Analyst,"Phoenix, AZ",E,AZ,
Maricopa County Community College District,Institutional Research Analyst (Specially Funded/Open Until Filled),"Phoenix, AZ",E,AZ,55735.0
Amazon Corporate LLC,Business Analyst II,"Tempe, AZ",E,AZ,
Pima Community College,Assessment and Evaluation Analyst (Research Analyst),"Tucson, AZ",E,AZ,50383.0
Arizona Supreme Court,Data Statistical Specialist (Job 2105),"Phoenix, AZ",E,AZ,56677.0
Axius Technologies,Machine Learning professional,"Phoenix, AZ",E,AZ,
SiteLock,Web Security Research Analyst,"Scottsdale, AZ",E,AZ,52500.0
Arizona State University,"Research Computing, Operations Support Analyst","Tempe, AZ",E,AZ,
Planetary Science Institute,Computer Software Programmer,"Tucson, AZ 85719 (North University area)",E,AZ,55000.0
NBI Resources,Hadoop Administrator,"Tucson, AZ",E,AZ,
University of Arizona,Institutional Research Analyst Senior,"Tucson, AZ",E,AZ,
State of Arizona,Epidemiology Program Manager,"Phoenix, AZ 85012 (Alhambra area)",E,AZ,65000.0
CBRE,Senior Business Analyst - Research,"Phoenix, AZ",E,AZ,
SRP,Analyst Market Research Senior,"Phoenix, AZ",E,AZ,
WSP | Parsons Brinckerhoff,Transportation Planner,"Tempe, AZ",E,AZ,
Republic Services,Senior Pricing Analyst-Statistical,"Phoenix, AZ 85067 (Alhambra area)",E,AZ,
Arizona State University,ASSISTANT RESEARCH SCIENTIST,"Tempe, AZ",E,AZ,55000.0
Engility Corporation,Computer Scientist,"Sierra Vista, AZ 85635",E,AZ,
Mayo Clinic,Research Fellow - Mathematical Modeling of Cancer Job,"Phoenix, AZ 85054 (Desert View area)",E,AZ,
Engility Corporation,Operations Research Systems Analyst,"Sierra Vista, AZ 85635",E,AZ,
ATC Group Services,"Staff Scientist-Tempe, AZ","Tempe, AZ 85284",E,AZ,
Sonora Quest,Med Lab Scientist I - Micro,"Tucson, AZ 85704",E,AZ,
Xerox,Data Scientist ( remote base candidates welcome),"Tucson, AZ 85702 (Barrio Viejo area)",E,AZ,
Objectwin Technology Inc,Clinical Research Analyst,"Chandler, AZ 85226",E,AZ,
Rincon Research Corporation,Advanced Software Research Engineer,"Tucson, AZ 85711 (Rosemont West area)",E,AZ,
Rincon Research Corporation,Telemetry Specialist,"Tucson, AZ 85711 (Rosemont West area)",E,AZ,
University of Arizona,"Assistant Staff Scientist, Flow Cytometry Shared Resource","Tucson, AZ",E,AZ,
"Productive Data Solutions, Inc.",Senior Scientist,"Tucson, AZ",E,AZ,
Engility Corporation,Sr. Computer Scientist,"Sierra Vista, AZ 85635",E,AZ,
University of Arizona,"Director of Development, Research & Interdisciplinary Programs","Tucson, AZ",E,AZ,
Sion Power,Cathode Scientist,"Tucson, AZ 85756",E,AZ,
Engility Corporation,SR. Operations Research Systems Analyst,"Sierra Vista, AZ 85635",E,AZ,
University of Arizona,Software Engineer (Temporary),"Tucson, AZ",E,AZ,75000.0
Grand Canyon University,Adjunct-Traditional Campus-College of Humanities and Social Sciences- Social Research and Statistics,"Phoenix, AZ 85017 (Alhambra area)",E,AZ,
Arizona Superior Court in Pima County,Criminal Justice Research Analyst 1016,Arizona,E,AZ,
"Productive Data Solutions, Inc.","Project Coordinator, Associate","Tucson, AZ",E,AZ,
Global Empire LLC,"Medical Laboratory Technologist, I.H.S. Pinon, AZ","Pinon, AZ",E,AZ,
"Productive Data Solutions, Inc.",Senior Design Quality Engineer-Reagents,"Tucson, AZ",E,AZ,
University of Arizona,Postdoctoral Research Associate I - Division of Informatics,"Tucson, AZ",E,AZ,60000.0
Grand Canyon University,Adjunct - Cohort - Traditional Campus - Colangelo College of Business - Performing Analytics Using a Statistical Language,"Phoenix, AZ 85017 (Alhambra area)",E,AZ,
University of Arizona,"Postdoctoral Research Associate I - Division of Geriatrics, General & Palliative Medicine","Tucson, AZ",E,AZ,
Wells Fargo,Research/Remediation Analyst 1,"Phoenix, AZ",F,AZ,
"Truven Health Analytics, an IBM Company",Research Analyst II - Child and Maternal Health,"Phoenix, AZ",F,AZ,
Lifetime Fitness,Ultimate Hoops Statistician,"Tempe, AZ",F,AZ,
State of Arizona,DATA STATISTICAL SPECIALIST,"Phoenix, AZ 85012 (Alhambra area)",F,AZ,
Northern Arizona Healthcare,MEDICAL LAB SCIENTIST II,"Cottonwood, AZ",F,AZ,
Northern Arizona University,Assistant Professor,"Flagstaff, AZ",F,AZ,66250.0
Phoenix Children's Hospital,Medical Lab Scientist II,"Phoenix, AZ 85002 (Central City area)",F,AZ,
University of Arizona,Assistant Research Scientist (Multiple Positions),"Tucson, AZ",F,AZ,
Association of Universities for Research in Astron...,Special Projects Assistant,"Tucson, AZ",F,AZ,
University of Arizona,"Technical Expert, Polysomnography (On-Call) (Multiple Positions)","Tucson, AZ",F,AZ,
University of Arizona,"Administrative Assistant, Curricular Affairs Unit (Phoenix, AZ)","Tucson, AZ",F,AZ,27098.04
Abacus Service Corporation,Research Analyst,"Phoenix, AZ 85034 (Central City area)",F,AZ,
Northern Arizona University,Postdoctoral Research Scholar - Physics and Astronomy,"Flagstaff, AZ",F,AZ,
Sonora Quest,Med Lab Scientist I,"Tucson, AZ 85704",F,AZ,
TalentFlex Solutions,Data Research Analyst,"Kino, AZ",F,AZ,
State of Arizona,COMPLIANCE OFFICER,"Phoenix, AZ 85012 (Alhambra area)",F,AZ,45000.0
W. L. Gore & Associates,Metallurgical Engineer– Shape Memory Alloy NPD,"Flagstaff, AZ 86004",F,AZ,
University of Arizona,Postdoctoral Research Associate I,"Tucson, AZ",F,AZ,
Lab Support,R&D Formulation Scientist,"Phoenix, AZ",F,AZ,
HDR,Construction Manager- Data Center/Mission Critical Facilities,"Phoenix, AZ",F,AZ,
"Health Services Advisory Group, Inc.","AZ, Healthcare Analyst","Phoenix, AZ 85016 (Camelback East area)",F,AZ,
University of Arizona,Assistant or Associate Professor - Division of Infectious Diseases (TE),"Tucson, AZ",F,AZ,
University of Arizona,"Office Specialist, Senior (Part Time) (Phoenix, AZ)","Tucson, AZ",F,AZ,27801.76
Maricopa County,Research Analyst,Arizona,F,AZ,
University of Arizona,Postdoctoral Research Associate I (Macroecology of Land Plant Biodiversity),"Tucson, AZ",F,AZ,
University of Arizona,Assistant or Associate Professor of Human-Computer Interaction (Tenure Eligible),"Tucson, AZ",F,AZ,
"K&M Systems, Inc.",Telco Data Scientist,"Santa Clara, CA",A,CA,214490.0
Harnham,VP of Data Science,"Palo Alto, CA",A,CA,200000.0
Tandem Recruiting Group,Senior Machine Learning Scientist,"Santa Clara, CA",A,CA,200000.0
Workbridge Associates,Senior Data Scientist,"San Jose, CA 95113 (Downtown area)",A,CA,200000.0
Jobspring Partners,Head of Data Science,"San Jose, CA 95113 (Downtown area)",A,CA,205000.0
Averity,Executive Director of Data Engineering,"San Francisco, CA",A,CA,205000.0
HERO.jobs,Senior Software Engineer - Python - Machine Learning,"San Francisco, CA",A,CA,200000.0
Change Healthcare,Data Scientist,"San Mateo, CA",B,CA,
Visa,Research Scientist,"Palo Alto, CA",B,CA,
Apple,Computer Vision/Machine Learning Engineer,"Santa Clara Valley, CA",B,CA,
Gap Inc.,"Director, Platform Analytics",California,B,CA,
Netflix,Senior Data Scientist - Algorithm Experimentation,"Los Gatos, CA",B,CA,
Arka,"Data Scientist, Sr","San Francisco, CA",B,CA,163880.0
Bayone Solutions Inc.,Data Scientist - Recommendation Engine,"San Francisco, CA",B,CA,160000.0
Sentient,Senior Data Scientist - Visual Intelligence,"San Francisco, CA",B,CA,
Dell,Data Scientist I,"Palo Alto, CA",B,CA,
Walmart eCommerce,Staff Data Scientist,"Sunnyvale, CA",B,CA,
Bosch,Research Scientist - Deep Learning,"Palo Alto, CA",B,CA,
"Amazon Web Services, Inc.",Sr. Data Scientist,"San Francisco, CA",B,CA,
Stratitude,Big Data Architect,"San Ramon, CA",B,CA,163880.0
Walmart eCommerce,"Data Scientist, Behavioral Researcher","San Bruno, CA 94066",B,CA,
Workbridge Associates,Data Scientist,"Menlo Park, CA",B,CA,150000.0
Tinder,Computer Vision Scientist,"West Hollywood, CA",B,CA,
thredUP Inc,Data Scientist - Big Data Expert,"San Francisco, CA 94104 (Financial District area)",B,CA,
Apple,Research Scientists - Machine Learning,"Santa Clara Valley, CA",B,CA,
EOS DA,Director Business Development,"Menlo Park, CA",B,CA,165000.0
"NextDeavor, Inc.",Sr. Data Scientist,"Mountain View, CA 94041",B,CA,150000.0
MsgAI,Data Scientist / Machine Learning / Deep Learning / NLP,"San Francisco, CA",B,CA,
BuildZoom,Internal Analytics Lead,"San Francisco, CA",B,CA,
Mindports,Data Scientist (Contract w potential for rapid liquidity),"Pasadena, CA 91125",B,CA,
LT,Senior Data Scientist,"Los Angeles, CA",B,CA,180000.0
GE Corporate,Principal Data Scientist,"San Ramon, CA",B,CA,
ZestFinance,"Director, Data Science","Los Angeles, CA 90028",B,CA,
Jobspring Partners,Data Scientist,"Redwood City, CA",B,CA,160000.0
NVIDIA,DATA SCIENTIST,"Santa Clara, CA",B,CA,
Ticketfly,Senior Data Scientist,"San Francisco, CA",B,CA,
Pocket Gems,Director of Analytics,"San Francisco, CA 94104 (Financial District area)",B,CA,
FICO,Sr. Principal Scientist,"San Diego, CA",B,CA,
Jobspring Partners,Data Scientist- cool startup in RedWood City,"Redwood City, CA",B,CA,165000.0
Big Cloud,Data Scientist (Machine Learning / Computer Vision),"San Francisco, CA",B,CA,
MWIDM Inc.,"Full Time Job Oppurtunity Data Scientist/Data Engineer In San Jose, CA","San Jose, CA 95101 (North Valley area)",B,CA,
Workbridge Associates,Sr. Data Scientist,"San Francisco, CA",B,CA,165000.0
Samsung,Sr. Technical Product Manager - Big Data,"Mountain View, CA",B,CA,
Jobspring Partners,Data Scientist- NLP/Machine Learning experience,"San Jose, CA 95113 (Downtown area)",B,CA,165000.0
Vungle,Head of Data Science,"San Francisco, CA",B,CA,
Redfish Technology - High Tech Executive Recruiter...,Senior Data Scientist - Virtual and Augmented Reality,"San Francisco, CA",B,CA,
SocialCode,Data Engineer,"San Francisco, CA",B,CA,
Workbridge Associates,Data Engineer (Python),"San Francisco, CA",B,CA,150000.0
Workbridge Associates,Principal Data Scientist,"Santa Clara, CA",B,CA,150000.0
"Cisco Systems, Inc.",Senior Data Scientist,"San Jose, CA",B,CA,
Apple,Data Engineering Manager,"Santa Clara Valley, CA",B,CA,
Walmart eCommerce,Senior Product Manager,"Sunnyvale, CA",B,CA,
"NextDeavor, Inc.",Tech Lead Full-Stack Engineer,"Mountain View, CA 94041",B,CA,150000.0
Sentient,Java Engineer - Machine Learning Platform,"San Francisco, CA",B,CA,
Jobspring Partners,Machine Learning Engineer - Automotive,"San Jose, CA 95113 (Downtown area)",B,CA,185000.0
"Redolent, Inc",Engineering Manager - Big Data Algorithms & Core Engineering,"Milpitas, CA",B,CA,185000.0
Jobspring Partners,Principal Scientist - ML,"San Jose, CA 95113 (Downtown area)",B,CA,190000.0
Workbridge Associates,Lead Data Scientist (Life Sciences),"San Francisco, CA",B,CA,165000.0
Workbridge Associates,Senior Data Engineer- Algorithms Platform,"San Francisco, CA",B,CA,175000.0
A9.com,"Senior Manager, Search Analytics","Palo Alto, CA",B,CA,
Workbridge Associates,Data Science (Human Computation),"San Francisco, CA",B,CA,160000.0
SocialCode,"Principal Architect, Platform","San Francisco, CA",B,CA,
Jobspring Partners,Lead DevOps Engineer (Machine Learning),"San Francisco, CA",B,CA,150000.0
Citrix,"Sr Software Engineer, (Big Data Engineer, Hadoop/AWS)","Mountain View, CA",B,CA,
Workbridge Associates,Computational Scientist - AI Platform,"Redwood City, CA",B,CA,155000.0
Workbridge Associates,Senior Data Scientist (NLP),"San Francisco, CA",B,CA,160000.0
Brocade,Sr. Staff Software Machine Learning Engineer,"San Jose, CA 95134 (North San Jose area)",B,CA,
EverString,Architect,"San Mateo, CA 94402 (Beresford area)",B,CA,
Jobspring Partners,Senior Build & Release Engineer (Machine Learning),"San Francisco, CA",B,CA,150000.0
Workbridge Associates,Senior Data Engineer - Recommendation Platform,"San Francisco, CA",B,CA,160000.0
Jobspring Partners,Lead Machine Learning Engineer,"San Jose, CA 95113 (Downtown area)",B,CA,185000.0
Adecco: USA,Operations Research Analyst,"Cupertino, CA",B,CA,149420.0
Workbridge Associates,"Principal UX Designer, Autonomous Driving","Santa Clara, CA",B,CA,165000.0
Walmart eCommerce,"Senior Director, Engineering @WalmartLabs","Sunnyvale, CA",B,CA,
Platfora,"Distributed Systems Engineer: Hadoop, Spark and Cloud Ecosystem","San Mateo, CA 94402 (Beresford area)",B,CA,
Jobspring Partners,Data Scientist with NLP experience,"San Jose, CA 95113 (Downtown area)",B,CA,160000.0
Tinder,Machine Learning Scientist,"West Hollywood, CA",C,CA,
Intel,Data Scientist/Machine Learning Engineer,"San Diego, CA 92129",C,CA,
Tastemade,Data Scientist,"Santa Monica, CA",C,CA,
Hain Solution,Data Scientist,"Los Angeles, CA",C,CA,121000.0
Google,"Quantitative Analytics Analyst, Treasury","Mountain View, CA",C,CA,
Beepi,"Data Scientist, Pricing","Mountain View, CA",C,CA,
FocusKPI Inc.,Data Scientist (Modeling Experience),"Mountain View, CA",C,CA,
Radius,Data Scientist,"San Francisco, CA",C,CA,
Facebook,"Data Scientist, Population and Survey Sciences","Menlo Park, CA",C,CA,
Intelecox,Java- Data Scientist,"Santa Clara, CA",C,CA,
Samsung,Data Scientist,"Mountain View, CA",C,CA,
CHEP,Data Scientist,"Palo Alto, CA",C,CA,
Samsung Research America,Data Scientist,"Mountain View, CA",C,CA,
Intel,Software Engineer - Machine Learning,"Santa Clara, CA 95052",C,CA,
Google,"Product Analyst, Data Science","Mountain View, CA",C,CA,
Insight Data Science,"Data Scientist, Program Director","Palo Alto, CA",C,CA,
LumenData,Data Scientist,"Santa Clara, CA 95054",C,CA,
Brighterion,Data Scientist,"San Francisco, CA 94105 (Financial District area)",C,CA,
Google,"Data Scientist, Operations and Engineering","Mountain View, CA",C,CA,
Near,Data Scientist,"San Francisco, CA",C,CA,
Pluralsight,Analytics Engineer,"San Diego, CA",C,CA,
Kiip,Data Scientist/Analyst,"San Francisco, CA",C,CA,
ZingBox,Data scientist,"Mountain View, CA",C,CA,
Tastemade,Machine Learning Engineer,"Santa Monica, CA",C,CA,
Alorica,Data Scientist,"Irvine, CA 92614",C,CA,
Verizon,Data Scientist,"Irvine, CA 92618",C,CA,
Apple,"Data Scientist, Proactive Intelligence","Santa Clara Valley, CA",C,CA,
HG Data,Data Scientist,"Santa Barbara, CA 93103",C,CA,
Apple,"Machine Learning Engineer, Proactive Intelligence","Santa Clara Valley, CA",C,CA,
Theranos,"Scientist, Machine Learning","Palo Alto, CA",C,CA,
Dropbox,Data Scientist,"San Francisco, CA",C,CA,
Eaze,Team Data Scientist,"San Francisco, CA",C,CA,
GE Renewable Energy,Senior Data Scientist – Renewable Energy,"San Ramon, CA",C,CA,
Impact Health,Data Scientist,"Playa del Rey, CA 90293",C,CA,
"GRAIL, Inc.",DATA ANALYSIS SCIENTIST,"San Francisco, CA",C,CA,
GE Power,Senior Data Scientist,"San Ramon, CA",C,CA,
Leap Motion,Data Scientist,"San Francisco, CA",C,CA,
