,rating,tconst,title,year,cast1,cast2,cast3,cast4,director,genre1,genre2,plot,date,runtime,tagline,writers
938,,tt1389497,Incitation aux plaisirs,1981,Lucie Doll,Marc Winandy,Hubert Géral,Carmelo Petix,Jean-François Hautin,Adult,,,1981-05-13,80,,Jacques Peroni
992,,tt3575550,The Confession of Money,,Julia Dietze,Paul Sanchez,Conrad Goode,Birte Carolin Sebastian,Koto Kodama,Crime,Drama,A former soldier is confronted again with the man he was hiding from.,,93,,Koto Kodama
1006,6.2,tt2207614,Lost in the Pinelands,2012,Neena Beggin,Samantha Beilman,Mary Anne Carachilo,Isabella Catala,Luis Enrique Torres,Sci-Fi,,An alien invasion comes to the Earth represented as a mysterious force. This extraterrestrial entity is looking for its first victim...,,72,,Estefania Torres
1051,,tt1071957,"Raj, odmah!",1985,Zeljko Hrs,Predrag Lakovic,,,Haris Pasovic,Drama,,,,73,,Slobodan Snajder
1093,,tt1391562,America's Next Felon,2009,Ray Beasley,Scott Carson,Heidi Fellner,Matt Franta,Ron Johnson,Comedy,,5 law abiding citizens are chosen by a dirty cop and an ex-con to participate in a reality show where the winner get to take part in a bank heist.,,57,,Ron Johnson
1116,,tt1634788,HR - Spezial Sailor,1993,Georg Kajanus,Henry Marsh,Phil Pickett,Grant Serpell,Karin Kittel,Music,,,1993-07-07,28,,
1145,,tt1183139,"Déculottez-vous, les starlettes",1977,Guy Royer,Anouchka,Cyril Val,Élisabeth Buré,Michel Ricaud,Adult,,,,80,,
1146,6.3,tt1787664,Boleto al paraíso,2010,Miriel Cejas,Héctor Medina,Blanca Rosa Blanco,Laura De la Uz,Gerardo Chijona,Drama,,Eunice is a teenage girl who is running away from her father's sexual harassment. Alejandro is a young...,2011-11-04,88,,Gerardo Chijona
1160,,tt1927015,Der schönste Grand Prix - mit den größten Hits aus 40 Jahren: Ein Abend für den Grand Prix,1998,Götz Alsmann,Dirk Bach,Roberto Blanco,Hubertus Borck,Christian Stöffler,Music,,,1998,95,,Markus Paßlick
1163,,tt2262644,The Future Past,2012,Francesco Campari,Nikki Kvitky,Marlene Morreis,,Salvatore Botti,Drama,Mystery,"The Future Past explores the intricacy of a relationship between a young Brooklyn couple, Doris and John, at three distinct periods of their lives.",,97,,Salvatore Botti
1193,,tt1368110,Mages kai pornes,1984,Pavlos Karanikolas,Sofi Karra,Katia Larygidou,Giorgos Matthaios,Fotis Damianos,Adult,,,1984,83,,
1200,,tt1765842,Historias engarzadas,2010,Monica Garza,,,,Carlos Guerra,Biography,,,,,,
1239,,tt2962858,Second Last Land,2013,Katrine Bach,Flora Berkeley,Ronny Ellefsen,Thelma Gudmunds,Thomas Nerling,Drama,,Claire ends it with Paul - how can she be with someone when she is not sure who she is? She leaves all this behind and takes on her sister's identity...,,89,,Thomas Nerling
1241,5.7,tt1974382,The Challenger,2015,Kent Moran,Michael Clarke Duncan,S. Epatha Merkerson,Justin Hartley,Kent Moran,Drama,Sport,A Bronx boxer fights his way to a better life.,2015-09-11,95,Fight for who you are.,Kent Moran
1253,,tt2319116,Gunaho Ka Mandir,1991,Deepak Javeri,,,,Keshav Rathod,Crime,,,1991,,,
1275,6.6,tt1275723,Honeymoons,2009,Nebojsa Milovanovic,Jelena Trkulja,Jozef Shiroka,Mirela Naska,Goran Paskaljevic,Drama,,'Honeymoons' shows us that the distance between Eastern and Western Europe is more than a question of kilometers...,2010-09-10,95,,Goran Paskaljevic
1286,6.2,tt3429014,Aberdeen,2014,Jacky Cai,Dada Chan,Louis Koo,June Lam,Ho-Cheung Pang,Family,,"The extended Cheng family, which, like Aberdeen harbor's Chinese namesake, represents today's ""Little Hong Kong"" and its myriad of contradictions between traditions and modernity; superstitions and materialism; family and individuality.",2014-05-08,97,,Ho-Cheung Pang
1304,,tt2294937,Wanted! Wives,1980,Cherie Gil,Jean Saburit,Tet Antiquiera,Charito Solis,Gil Portes,,,,1980-10-10,,,Jose N. Carreon
1323,2.5,tt3659188,Pour Que Plus Jamais,2014,Marie Ange Barbancourt,Jacquy Bidjeck,Pascal Darilus,Natacha Noel,Marie Ange Barbancourt,Drama,,"Mia, a Canadian actress must return to Haiti when her mother is killed. She is soon embroiled in a fight with her sister and authorities over the family inheritance. Framed and imprisoned, she will need all her wits to survive and escape.",,88,,Marie Ange Barbancourt
1341,4.8,tt2069763,Emilie Richards - Der Zauber von Neuseeland,2011,Oliver Mommsen,Tessa Mittelstaedt,Elisabeth Trissenaar,Klaus Wildbolz,John Delbridge,Drama,,,2011-10-16,90,,Martina Mouchot
1346,,tt1242612,Cicatriz,1959,Lolita Rodriguez,Luis Gonzales,Barbara Perez,Carlos Salazar,Tony Cayado,Drama,,,1959-06-09,,,Susana C. de Guzman
1386,6.8,tt2993892,El año y la viña,2013,Andrea Calabrese,Javier Sáez,Fede Sánchez Garcia,,Jonathan Cenzual Burley,Comedy,Drama,A Sicilian member of the international Brigades during the Spanish civil war on his way to the front...,,75,,Jonathan Cenzual Burley
1389,,tt2239904,Pjerrot,1917,Erik Holberg,Frederik Jacobsen,Peter Jørgensen,Ove Kühl,Hjalmar Davidsen,Comedy,,,1917-12-10,,,Valdemar Andersen
1448,,tt3101624,Ang pirata,2013,Shamaine Buencamino,Mon Confiado,Ketchup Eusebio,Ronnie Lazaro,Jon Red,Drama,,,,,,
1451,,tt2950152,Purely for Pleasure: The Wallace Collection,1975,Kenneth Clark,,,,,Family,,,1975-04-15,45,,
1452,,tt1575607,Landleben,1969,Otto Lüthje,Erna Raupach-Petersen,Ernst Grabbe,Ruth Redetzki,Hans Mahler,Comedy,,,1969-06-28,85,,Hans Henning Holm
1466,5.6,tt3268444,Hunt for Stolen War Treasures,1989,Michael York,,,,David Grossman,History,,,1989-04-24,,,Terry George
1472,5.2,tt3065662,The Toyman Killer,2013,Sarah Carter,David Haydn-Jones,Magda Apanowicz,Tom Butler,Farhad Mann,Crime,Mystery,A criminal psychologist evaluates the sanity of a death-row inmate who shows signs of multiple personality disorder.,2013-07-20,85,,Roma Roth
1476,,tt2866100,Vertical Reality,1994,Brad Vancour,,,,,,,,1994-01,102,,
1491,,tt1303727,Der Heldenmantel,1967,Hertha Martin,Franz Stoss,Alexander Kerst,Peter Schütte,Walter Rilla,Drama,,,1967-07-27,90,,Alix du Frênes
1493,4.3,tt3188586,Lissammayude Veedu,2013,Johny Antony,Kalasala Babu,Baiju,Rony David,Babu Janardanan,Crime,Drama,,,136,,Babu Janardanan
1504,,tt1696201,Commander Lawin II,,Dante Varona,Ernie David,Rex Lapid,Kim Vergel Almaza,Dante Varona,Action,,,,,,Lito Mena
1519,8.2,tt3139090,Twisted: Socio Studies 101,2013,Maddie Hasson,Avan Jogia,Ashton Moio,,,Drama,,,2013-08-20,,,
1556,,tt3149048,Abro Ne Bayie,2008,,,,,Cemeka Uba,Horror,,"Brother Vincent is an successful and Christian young man, he seems to have everything going for him with a deep involvement in church...",,95,,
1578,,tt2173418,The Child Help Benefit Special,1987,Ned Beatty,Barry Bostwick,Nanette Fabray,Fern Fitzgerald,,Reality-TV,,,,,,
1584,,tt1510813,Nabegebaboa Hennu,1958,,,,,B. Vittalacharya,,,,,,,
1588,4.8,tt1613046,The American Dream,2011,Malcolm Goodwin,Jamil Walker Smith,Michael Trotter,Bradley Stryker,Jamil Walker Smith,Drama,War,"Armed with dreams that extend beyond their block, Luis and Ronald, two best friends from Los Angeles...",,80,Objects In Mirror Are Closer Than They Appear,Jamil Walker Smith
1615,,tt1112758,De terechtstelling,1984,Carline Brouwer,Edward Montie,Gijs Scholten van Aschat,Joke Tjalsma,John van de Rest,Drama,,A couple fights over the custody of their daughter.,1984-06-03,59,,Hugo Heinen
1617,,tt1090212,"Hallo, Berlin - 750",1987,Irvin Doomes,Dagmar Frederic,Helga Hahnemann,Ulrich Lebich,Volkmar Neumann,Music,,,1987-12-23,,,Angela Gentzmer
1619,,tt1130844,Karnabal,1973,Fernando Poe Jr.,Susan Roces,Paquito Diaz,Max Alvarado,Manuel 'Fyke' Cinco,Comedy,,,1973-05-11,,,Fernando Poe Jr.
1660,6.4,tt2085800,Choked,2011,Tae-goo Eom,Hae-yeon Kil,Hak-soon Lim,Se-jin Park,Joong-Hyun Kim,Drama,,"It's been a year since Hee-su vanished. Youn-ho, who works at a redevelopment firm, ignores his mother's...",2012-03-08,110,,
1670,2.6,tt2332620,Laz Vampir Tirakula,2012,Wilma Elles,Meral Kaplan,Ebru Kaymakci,,Metin Koc,Comedy,,,2012-12-14,,,Metin Koc
1680,3.5,tt1690540,Bro',2012,Will Chavez,Beau Manley,Alexandra Mason,Rebekah Graf,Nick Parada,Action,Crime,A college student gets involved in the wild partying lifestyle of the professional freestyle motocross world.,,89,Life doesn't always give you a practice track.,Kimberly Spencer
1702,,tt1412570,Touchdown Tables,2002,,,,,,,,,2002,,,
1723,,tt1764330,Garden,2010,Katie Hirose,Gakushu Ichijiku,Takahiro Ishida,Hirono Okumura,Eiki Taminato,Drama,Romance,"Hozumi, a gifted scientist, is researching human cloning to save his beautiful and dying fiance, Hiroko...",,87,,Eiki Taminato
1726,5.2,tt2142711,Berlin Kaplani,2012,Ata Demirer,Tarik Ünlüoglu,Numan Acar,Necati Bilgiç,Hakan Algül,Comedy,,The story of Ayhan Kaplan who is a bodyguard and boxer in Berlin.,2012-01-26,98,,Ata Demirer
1737,4.8,tt2664876,Misericordia: The Last Mystery of Kristo Vampiro,2013,Dante Perez,,,,Khavn,Drama,,,,70,,Khavn
1758,,tt1780795,Christmas with Mulberry Lane,2010,,,,,Michael Drumm,Music,,,2010-12-01,,,
1761,,tt3055172,Kyôkaku Soga,1934,Kazuo Hasegawa,Kôtarô Bandô,Kôkichi Takada,Toshiko Iizuka,Kintarô Inoue,,,,1934-12-31,,,Otokichi Mikami
1788,,tt2631242,Own Worst Enemy,,James Phelps,Oliver Phelps,Mathew Waters,Terri Dwyer,Philip Pugh,Comedy,Drama,,,,"With imaginary friends like these, who needs enemies?",Philip Pugh
1794,8.5,tt1286744,ER EXperience,2009,Benjamin Kroger,Molly McKune,Catherine McGuire,Charles Thomas Doyle,John Crockett,Drama,,,2009-06-25,93,What if the most dangerous person in the hospital is the doctor?,Brian McCulley
1801,6.5,tt1194124,Shadows in the Palace,2007,Jin-hie Park,Se-ah Yun,Yeong-hie Seo,Jeong-eun Lim,Mi-jung Kim,Crime,Drama,"During the Chosun period, a court lady is found dead, hanging by the rafters of the palace. After examining the dead body...",2007-10-18,112,,Seok-Hwan Choi
1807,6.5,tt1188992,The House of Branching Love,2009,Hannu-Pekka Björkman,Elina Knihtilä,Kati Outinen,Antti Reini,Mika Kaurismäki,Comedy,Drama,"A sort of ""Divorce Finnish Style,"" Mika Kaurismäki's rambunctious comedy, The House of Branching Love ...",2009-08-21,102,,Mika Kaurismäki
1818,,tt2014240,Huan le qun ying,1980,Meng-Lin Wang,Kuan-Chen Hu,Hsiao-Ling Hsu,Shu-Hai Chao,Jen-Chieh Chang,Comedy,Musical,,1980,91,,Hsiang Kan Chu
1831,,tt1640612,Until the Music Ends,,Slash,Steve Wozniak,Jerry Heller,Alan Parsons,,,,,,,,
1834,,tt3426066,Veettukoru Pillai,1971,Jaishankar,Nagesh,Usha Nandini,Srikanth,Kanagashanmugam,,,,1971,,,
1839,5.6,tt1002439,The Wedding Wish,2007,Katee Sackhoff,Sage Brocklebank,Tommy Lioutas,Kim Poirier,David Winkler,Comedy,Drama,"A high-school girl makes a wish to marry her crush, the star of the football team who doesn't even know she's alive. Then a solar eclipse magically transports them 17 years into the future to the day of their wedding.",2007-07-01,120,,Nancey Silvers
1851,,tt1204317,Momekhmaret ialbuzze asvlashi,1981,Givi Sarchimelidze,Irakli Sutidze,Giorgi Dadiani,Maka Makharadze,Nana Dzhordzhadze,,,,1981,40,,Nana Dzhordzhadze
1871,6.9,tt3303630,As Jy Sing,2013,Bobby van Jaarsveld,Leah Van Niekerk,Bok van Blerk,Karlien van Jaarsveld,Andre Odendaal,Comedy,Drama,"A conventional music teacher lives for his singing group who are outcasts at their sport-mad school. Circumstances force the group to stand up for what they believe in, because when they sing, they find meaning in life.",2013-11-12,108,,Sandra Vaughn
1872,5.8,tt2435286,Redlands,2014,Nicole Arianna Fox,Clifford Morts,Sam Brittan,Melissa Johnston,John Brian King,Drama,,"The lives of three residents of Redlands, California -- a middle-aged glamour photographer named Allan, his nude model Vienna, and her indie-musician boyfriend Zack -- intersect and ultimately collide in this claustrophobic adult drama.",2014-01-10,108,,John Brian King
1886,,tt1206895,Anime gemelle,1914,Amilene,Filippo Butera,Giannetto Casaleggio,Signorina Merloni,Giuseppe Pinto,,,,1914-05-09,,,
1897,8.1,tt3318088,476 A.D. Chapter Two: The Dawning of the Age of Pisces,2016,Luckson Bonhomme,Anthony Cubba,Kirsten Deane,Jason Delancy,Ivan Pavletic,History,,,,90,,Ivan Pavletic
1917,5.1,tt1951290,Three's a Shroud,2012,Suzi Lorraine,Dani Thompson,Louie Russo Brownlie,Morrigan Hel,Dan Brownlie,Horror,,A modern British horror anthology in the tradition of Asylum and Tales From the Crypt. A babysitter...,,77,,Dan Brownlie
1923,6.0,tt1449383,The Man from Beijing,2011,Suzanne von Borsody,Michael Nyqvist,Claudia Michelsen,Amy Cheng,Peter Keglevic,Thriller,,A cold day in January 2006. The police make a horrible discovery in the Swedish town of Hudiksvall: In one night...,2011-12-30,180,,Fred Breinersdorfer
1930,7.2,tt2404818,Saattai,2012,Samuthirakani,Thambi Ramayya,Yuvan,Mahima,Anbazhagan,Drama,Family,A teacher fights to change the pitiable environment of a school.,2012-09-20,150,,
1947,,tt1223334,Mister Wu,1920,Amedeo Chiantoni,Marcello Giorda,Alfonsina Pieri,,,,,,1920-03,,,Harold Owen
1969,7.1,tt2274706,"With You, Without You",2012,Shyam Fernando,Anjali Patil,Maheshwari Ratnam,Wasantha Moragoda,Prasanna Vithanage,Drama,nan,"The film set, in post war Sri Lanka, brings us close to two characters who collide quite accidentally...",2013-02,90,Love is never enough...,Prasanna Vithanage
1975,,tt1301269,Mein Vogel fliegt schneller,2009,Eva Bay,Sebastian Becker,Luise Berndt,Rafael Braun,Gülseli Bille Baur,Drama,,Eleven young people live in a city. It is midsummer. This is the starting point of the escalation of seemingly harmonious relationships...,,84,,Gülseli Bille Baur
1978,6.5,tt1937292,Pyat nevest,2011,Elizaveta Boyarskaya,Aleksey Dmitriev,Andrey Fedortsov,Marina Golub,Karen Oganesyan,Adventure,Comedy,"May 1945, a young pilot Aleksey Kaverin stationed in Germany is going home to Russia for vacation. The problem is he needs to bring a bride. And not only to himself but to four his friends as well.",2011-09-29,104,,Yuriy Korotkov
