,rating,tconst,title,year,cast1,cast2,cast3,cast4,director,genre1,genre2,plot,date,runtime,tagline,writers
26,6.5,tt0102175,Jungle Fever,1991,Wesley Snipes,Annabella Sciorra,Spike Lee,Ossie Davis,Spike Lee,Drama,Romance,Friends and family of a married black architect react in different ways to his affair with an Italian secretary.,1991-06-07,132,,Spike Lee
27,6.6,tt0116378,The Funeral,1996,Christopher Walken,Chris Penn,Annabella Sciorra,Isabella Rossellini,Abel Ferrara,Crime,Drama,"New York City, the 1930s. A powerful crime family is caught in a lethal crossfire between union organizers and brutal corporate bosses...",1996-11-01,99,"Once you pull the trigger, there's no going back.",Nicholas St. John
28,7.8,tt1045658,Silver Linings Playbook,2012,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,David O. Russell,Comedy,Drama,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",2012-12-25,122,Watch for the signs,David O. Russell
29,7.3,tt0095031,Dirty Rotten Scoundrels,1988,Steve Martin,Michael Caine,Glenne Headly,Anton Rodgers,Frank Oz,Comedy,Crime,"Two con men try to settle their rivalry by betting on who can swindle a young American heiress out of $50,000 first.",1988-12-14,110,Nice guys finish last.  Meet the winners.,Dale Launer
30,8.0,tt0947798,Black Swan,2010,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,Darren Aronofsky,Drama,Thriller,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",2010-12-17,108,,Mark Heyman
31,7.3,tt0120663,Eyes Wide Shut,1999,Tom Cruise,Nicole Kidman,Todd Field,Sydney Pollack,Stanley Kubrick,Drama,Mystery,"A New York City doctor, who is married to an art curator, pushes himself on a harrowing and dangerous night-long odyssey of sexual and moral discovery after his wife admits that she once almost cheated on him.",1999-07-16,159,Cruise. Kidman. Kubrick.,Stanley Kubrick
32,7.2,tt0118804,The Butcher Boy,1997,Stephen Rea,Fiona Shaw,Eamonn Owens,Alan Boyle,Neil Jordan,Comedy,Drama,"Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent...",1998-02-20,110,This little piggy laughed all the way home!,Pat McCabe
33,7.8,tt1843866,Captain America: The Winter Soldier,2014,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,Anthony Russo,Action,Adventure,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",2014-04-04,136,In heroes we trust.,Christopher Markus
34,7.7,tt0120669,Fear and Loathing in Las Vegas,1998,Johnny Depp,Benicio Del Toro,Tobey Maguire,Ellen Barkin,Terry Gilliam,Adventure,Comedy,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,1998-05-22,118,Give us your brain for two hours and you will never be the same again.....(Icelandic),Hunter S. Thompson
35,6.7,tt0292644,The Rules of Attraction,2002,James Van Der Beek,Ian Somerhalder,Shannyn Sossamon,Jessica Biel,Roger Avary,Comedy,Drama,"The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.",2002-10-11,110,We all run on instinct.,Bret Easton Ellis
36,7.6,tt0887912,The Hurt Locker,2008,Jeremy Renner,Anthony Mackie,Brian Geraghty,Guy Pearce,Kathryn Bigelow,Drama,History,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",2009-07-31,131,You'll know when you're in it.,Mark Boal
37,6.7,tt0830515,Quantum of Solace,2008,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Marc Forster,Action,Adventure,"James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource. All the while, he still tries to seek revenge over the death of his love.",2008-11-14,106,,Paul Haggis
38,6.6,tt0088000,Revenge of the Nerds,1984,Robert Carradine,Anthony Edwards,Timothy Busfield,Andrew Cassese,Jeff Kanew,Comedy,nan,"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect.",1984-08-10,90,"They've been laughed at, picked on and put down. But now it's time for the odd to get even! Their time has come!",Tim Metcalfe
39,8.0,tt1655442,The Artist,2011,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,Michel Hazanavicius,Comedy,Drama,"A silent movie star meets a young dancer, but the arrival of talking pictures sends their careers in opposite directions.",2012-01-20,100,,Michel Hazanavicius
40,7.2,tt0119164,The Full Monty,1997,Robert Carlyle,Tom Wilkinson,Mark Addy,William Snape,Peter Cattaneo,Comedy,Drama,"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.",1997-09-19,91,Six men. With nothing to lose. Who dare to go....,Simon Beaufoy
41,7.0,tt1446714,Prometheus,2012,Noomi Rapace,Logan Marshall-Green,Michael Fassbender,Charlize Theron,Ridley Scott,Adventure,Mystery,Following clues to the origin of mankind a team journey across the universe and find a structure on a distant moon containing a monolithic statue of a humanoid head and stone cylinders of alien blood but they soon find they are not alone.,2012-06-08,124,The search for our beginning could lead to our end,Jon Spaihts
42,6.9,tt2382396,Joe,2013,Nicolas Cage,Tye Sheridan,Gary Poulter,Ronnie Gene Blevins,David Gordon Green,Drama,,"An ex-con, who is the unlikeliest of role models, meets a 15-year-old boy and is faced with the choice of redemption or ruin.",2014-04-11,117,,Gary Hawkins
43,8.4,tt0364569,Oldboy,2003,Min-sik Choi,Ji-tae Yu,Hye-jeong Kang,Dae-han Ji,Chan-wook Park,Drama,Mystery,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003-11-21,120,"15 years of imprisonment, five days of vengeance",Garon Tsuchiya
44,8.3,tt0372784,Batman Begins,2005,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,Christopher Nolan,Action,Adventure,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.",2005-06-15,140,The legend begins.,Bob Kane
45,8.5,tt0078788,Apocalypse Now,1979,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Francis Ford Coppola,Drama,War,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.",1979-08-15,153,The Horror. . . The Horror. . .,John Milius
46,7.2,tt0088993,Day of the Dead,1985,Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,George A. Romero,Action,Drama,A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,1985-07-19,96,The Dead have waited. The day has come.,George A. Romero
47,7.5,tt0032910,Pinocchio,1940,Dickie Jones,Christian Rub,Mel Blanc,Don Brodie,Norman Ferguson,Animation,Family,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",1940-02-23,88,Disney's all-time family classic is back ...No strings attached! [1987 re-release Australia],Carlo Collodi
48,7.5,tt0099871,Jacob's Ladder,1990,Tim Robbins,Elizabeth Peña,Danny Aiello,Matt Craven,Adrian Lyne,Drama,Horror,"Mourning his dead child, a haunted Vietnam War veteran attempts to discover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusion, and perception of death.",1990-11-02,113,The most frightening thing about Jacob Singer's nightmare is that he isn't dreaming.,Bruce Joel Rubin
49,7.4,tt1790885,Zero Dark Thirty,2012,Jessica Chastain,Joel Edgerton,Chris Pratt,Mark Strong,Kathryn Bigelow,Drama,History,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",2013-01-11,157,The greatest manhunt in history.,Mark Boal
50,8.2,tt0978762,Mary and Max,2009,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,Adam Elliot,Animation,Comedy,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",2009-04-09,92,Two unlikely people. Two different worlds come together in a story about a most unusual friendship.,Adam Elliot
51,7.7,tt0455590,The Last King of Scotland,2006,James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington,Kevin Macdonald,Biography,Drama,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970's.,2007-01-19,123,Charming. Magnetic. Murderous.,Peter Morgan
52,8.0,tt3544112,Sing Street,2016,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor,John Carney,Comedy,Drama,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,2016-03-17,106,"Boy meets girl, girl unimpressed, boy starts band",John Carney
53,7.2,tt0111503,True Lies,1994,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,James Cameron,Action,Comedy,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman.",1994-07-15,141,"When he said I do, he never said what he did.",Claude Zidi
54,7.0,tt0066214,Performance,1970,James Fox,Mick Jagger,Anita Pallenberg,Michèle Breton,Donald Cammell,Crime,Drama,"Chas, a violent and psychotic East London gangster needs a place to lie low after a hit that should never have been carried out...",1970-09-04,105,See them all in a film about fantasy. And reality. Vice. And versa.,Donald Cammell
55,7.7,tt0111507,Three Colors: White,1994,Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr,Krzysztof Kieslowski,Comedy,Drama,Second of a trilogy of films dealing with contemporary French society shows a Polish immigrant who wants to get even with his former wife.,1994-06-10,91,,Krzysztof Kieslowski
56,7.8,tt0106977,The Fugitive,1993,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,Andrew Davis,Action,Crime,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt.",1993-08-06,130,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,Jeb Stuart
57,6.9,tt0116778,Kingpin,1996,Woody Harrelson,Randy Quaid,Bill Murray,Vanessa Angel,Bobby Farrelly,Comedy,Sport,"A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches.",1996-07-26,117,A comedy right up your alley.,Barry Fanaro
58,7.5,tt0338751,The Aviator,2004,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly,Martin Scorsese,Biography,Drama,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid-1940s.,2004-12-25,170,"For some men, the sky was the limit. For him, it was just the beginning.",John Logan
59,7.6,tt0095631,Midnight Run,1988,Robert De Niro,Charles Grodin,Yaphet Kotto,John Ashton,Martin Brest,Action,Comedy,"An accountant is chased by bounty hunters, the FBI, and the Mafia after jumping bail.",1988-07-20,126,A tough bounty hunter. A sensitive criminal.,George Gallo
60,7.9,tt0083866,E.T. the Extra-Terrestrial,1982,Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace,Steven Spielberg,Family,Sci-Fi,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,1982-06-11,120,He is afraid. He is totally alone. He is 3 million light years from home.,Melissa Mathison
61,8.1,tt0246578,Donnie Darko,2001,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,Richard Kelly,Drama,Sci-Fi,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",2001-10-26,113,Life is one long insane trip. Some people just have better directions.,Richard Kelly
62,8.0,tt1139797,Let the Right One In,2008,Kåre Hedebrant,Lina Leandersson,Per Ragnar,Henrik Dahl,Tomas Alfredson,Drama,Horror,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",2008-12-12,115,"Eli is 12 years old. She's been 12 for over 200 years and, she just moved in next door.",John Ajvide Lindqvist
63,7.8,tt0398286,Tangled,2010,Mandy Moore,Zachary Levi,Donna Murphy,Ron Perlman,Nathan Greno,Animation,Adventure,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",2010-11-24,100,They're taking adventure to new lengths.,Dan Fogelman
64,7.4,tt0107507,Manhattan Murder Mystery,1993,Woody Allen,Diane Keaton,Jerry Adler,Lynn Cohen,Woody Allen,Comedy,Mystery,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,1993-08-18,104,,Woody Allen
65,7.6,tt0104257,A Few Good Men,1992,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,Rob Reiner,Drama,Thriller,Neo military lawyer Kaffee defends Marines accused of murder; they contend they were acting under orders.,1992-12-11,138,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",Aaron Sorkin
66,7.1,tt0120188,Three Kings,1999,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,David O. Russell,Action,Adventure,"In the aftermath of the Persian Gulf War, 4 soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.",1999-10-01,114,In a war without heroes they are kings,John Ridley
67,7.5,tt0067866,El Topo,1970,Alejandro Jodorowsky,Brontis Jodorowsky,José Legarreta,Alfonso Arau,Alejandro Jodorowsky,Drama,Western,A mysterious black-clad gunfighter wanders a mystical Western landscape encountering multiple bizarre characters.,1971-04-15,125,The Definitive Cult Spaghetti Western,Alejandro Jodorowsky
68,7.3,tt1596343,Fast Five,2011,Vin Diesel,Paul Walker,Dwayne Johnson,Jordana Brewster,Justin Lin,Action,Crime,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,2011-04-29,131,Feel the Speed. Feel the Rush.,Chris Morgan
69,7.4,tt2381249,Mission: Impossible - Rogue Nation,2015,Tom Cruise,Rebecca Ferguson,Jeremy Renner,Simon Pegg,Christopher McQuarrie,Action,Adventure,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",2015-07-31,131,Go rogue,Christopher McQuarrie
70,7.0,tt1213663,The World's End,2013,Simon Pegg,Nick Frost,Martin Freeman,Rosamund Pike,Edgar Wright,Action,Comedy,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.,2013-08-23,109,Good food. Fine ales. Total Annihilation.,Simon Pegg
71,7.3,tt0069995,Don't Look Now,1973,Julie Christie,Donald Sutherland,Hilary Mason,Clelia Matania,Nicolas Roeg,Drama,Horror,"A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.",1974-01-01,110,A psychic thriller.,Daphne Du Maurier
72,7.9,tt0120363,Toy Story 2,1999,Tom Hanks,Tim Allen,Joan Cusack,Kelsey Grammer,John Lasseter,Animation,Adventure,"When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting.",1999-11-24,92,"""Oooh...3-D"" (USA 2009 re-release)",John Lasseter
73,7.5,tt0076786,Suspiria,1977,Jessica Harper,Stefania Casini,Flavio Bucci,Miguel Bosé,Dario Argento,Horror,nan,A newcomer to a fancy ballet academy gradually comes to realize that the school is a front for something far more sinister and supernatural amidst a series of grisly murders.,1977-08-12,92,Do you know anything about witches?,Dario Argento
74,6.9,tt3235888,It Follows,2014,Maika Monroe,Keir Gilchrist,Olivia Luccardi,Lili Sepe,David Robert Mitchell,Horror,Mystery,A young woman is followed by an unknown supernatural force after a sexual encounter.,2015-03-27,100,It doesn't think. It doesn't feel. It doesn't give up.,David Robert Mitchell
75,7.1,tt1282140,Easy A,2010,Emma Stone,Amanda Bynes,Penn Badgley,Dan Byrd,Will Gluck,Comedy,Drama,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,2010-09-17,92,"A Comedy about a Good Girl, a Small Favor and a Big Rumor.",Bert V. Royal
76,7.8,tt0108358,Tombstone,1993,Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton,George P. Cosmatos,Action,Biography,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.",1993-12-25,134,I'm your huckleberry!,Kevin Jarre
77,7.3,tt0178868,Ringu,1998,Nanako Matsushima,Miki Nakatani,Yûko Takeuchi,Hitomi Satô,Hideo Nakata,Horror,Mystery,"Ruthlessly murdered by her father, the ghost of a seer's daughter kills all those seven days after they watch the strange contents of a mysterious video tape, unless the viewer finds the escape clause.",1998-01-31,96,Will scare the hell out of you!,Hiroshi Takahashi
78,8.1,tt0848228,The Avengers,2012,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,Joss Whedon,Action,Sci-Fi,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,2012-05-04,143,Avengers Assemble!,Joss Whedon
79,7.1,tt0093640,No Way Out,1987,Kevin Costner,Gene Hackman,Sean Young,Will Patton,Roger Donaldson,Action,Crime,A coverup and witchhunt occur after a politician accidentally kills his mistress.,1987-08-14,114,A tightly wound and engrossing thriller!,Kenneth Fearing
80,7.3,tt0110632,Natural Born Killers,1994,Woody Harrelson,Juliette Lewis,Tom Sizemore,Rodney Dangerfield,Oliver Stone,Crime,Drama,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,1994-08-26,122,The Media Made Them Superstars.,Quentin Tarantino
81,7.8,tt0106489,A Bronx Tale,1993,Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra,Robert De Niro,Crime,Drama,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,1993-10-01,121,"One man lives in the neighborhood, another man owns it. A devoted father battles the local crime boss for the life of his son.",Chazz Palminteri
82,8.2,tt0993846,The Wolf of Wall Street,2013,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,Martin Scorsese,Biography,Comedy,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013-12-25,180,,Terence Winter
83,6.9,tt0113497,Jumanji,1995,Robin Williams,Kirsten Dunst,Bonnie Hunt,Jonathan Hyde,Joe Johnston,Action,Adventure,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",1995-12-15,104,Roll the dice and unleash the excitement!,Jonathan Hensleigh
84,8.1,tt2015381,Guardians of the Galaxy,2014,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,James Gunn,Action,Adventure,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,2014-08-01,121,You're Welcome,James Gunn
85,7.9,tt1646971,How to Train Your Dragon 2,2014,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,Dean DeBlois,Animation,Action,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",2014-06-13,102,,Dean DeBlois
